Product Name,Brand Name,Price,Stars,Text,Review Votes,ReviewsNumber,sentiment,AverageRating,review_length,token_count
ACER LIQUID E700 TRIO 16GB TITAN BLACK TRIPLE SIM FACTORY UNLOCKED CELL PHONE,ACER,139.95,5,good,0,3,Positive,4.0,4,1
ACER LIQUID E700 TRIO 16GB TITAN BLACK TRIPLE SIM FACTORY UNLOCKED CELL PHONE,ACER,139.95,5,fantastic product,0,3,Positive,4.0,18,2
ACER LIQUID E700 TRIO 16GB TITAN BLACK TRIPLE SIM FACTORY UNLOCKED CELL PHONE,ACER,139.95,2,the camera is big disappointment on many levelsthe stock android version of acer is not smooth not its user friendlythe hardware and performance is not even as fast as the old samsung galaxy siiithe bottom buttons are not illuminating  and not sensitive enough for your touch hit them at least twicethe bottom line is do not buy this phone unless you desperately need a tri sim phone with no useful smartphone features,0,3,Negative,4.0,426,71
"Acer Liquid Jade Z Andoid KitKat Unlocked Quad-Core 5"" IPS Smartphone - Retail Packaging - Charcoal Gray",ACER,129.99,1,the description says  gb rom  it only has  gb rom i am very disappointed at the erroneous and misleading description,0,2,Negative,1.5,119,20
"Acer Liquid Jade Z Andoid KitKat Unlocked Quad-Core 5"" IPS Smartphone - Retail Packaging - Charcoal Gray",ACER,129.99,2,i had high hopes for this acer phone based their reputation for laptops etc it is a very well designed phone and its well made but badly let down by two thingsthe android operating is stuck at    with no hope of an update the front selfie cmera which is supposed to be   mp is actually about a tenth of that maybe   and very grainy i checked twice to see if there was perhaps a plastic protective sheet covering the lens  but nothingasides from that  the phone works well and has clear calls  a nice screen and fast internetthe battery life is not enough  but all smartphones are the same in that area i have become accustomed to carrying around a battery packall in all  a nice phone let down by the totally unacceptable front camera and out of date operating system its going back exclamation ,0,2,Negative,1.5,800,145
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,3,this phone was a replacement for my niece  hers broke down the shipping was fast it took her a while to get use to the windows phone  in the beginning she complain a lot and she was right because the display isnt that big  the rim is about   inch and if you use to work with a full display the bottom is annoying and the speaker didnt work that well the other side couldnt hear you clearly i think it was a glitch of windows    but overall it a good phone for my niece because shes broke two expensive smart phone so this one is just right price for a teenager like her till now this phone with stand her rudeness and carelessly,40,15,Neutral,3.2,642,125
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,5,dual sims are better than one sim has blurred data exclamation ,20,15,Positive,3.2,51,10
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,5,nice phone i am waiting to be upgraded to windows  ,20,15,Positive,3.2,53,11
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,1,i did not receive my order items,0,15,Negative,3.2,33,7
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,1,first off  great service as usual i wanted a small windows phone and had seen this phone at the ms store i liked the look  and thought it would work first off  there are no directions for inserting the sim card why would you need directions you ask because after ten minutes of dinking with it i realized that sim  on this phone is a full size sim card exclamation  who has those anymore so  i had to put my sim card in the sim  slot when i did that  every call i made required me to select sim  over sim  also  it was taking way to long for all my apps to load ridiculously too long but the nail in the coffin for this phone was the screen its awful you have to tilt the phone just right to see the screen clearly just a little angle from any direction and it like your looking through one of those pc security screens from the  s one other reason i was interested in the phone was the textured case i thought it would be easier to grip not its slipperier than the smooth case on my lumina    which id use all the time if it had a front facing camera anyway  if any on you know of a good windows phone with a   screen id appreciate your feedback,50,15,Negative,3.2,1164,228
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,5,excelente producto,10,15,Positive,3.2,18,2
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,4,item is good the only thing is att does will no longer provide  g network service,10,15,Positive,3.2,83,16
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,4,its work well,10,15,Positive,3.2,14,3
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,1,manure,0,15,Negative,3.2,6,1
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,5,my   year old bought this with his babysitting money  not for a phone  but as a mini computer with a texting app to text his friends from wi fi  as he has no data for it he really likes it the only regret is that he knew ahead of time it was a windows system but now wishes it was an android this is not the fault of the company  he knew when he bought it overall  he likes it,30,15,Positive,3.2,384,78
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,1,the phones were advertised as being windows   ready  this couldnt be farther from the truth the minute we tried to download windows   we received an error message saying that it was not possible to do on that phone we promptly sent them back,10,15,Negative,3.2,249,45
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,4,excellent,10,15,Positive,3.2,9,1
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,1,phone very poor quality i recommend not to buy,10,15,Negative,3.2,47,9
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,3,itsn a powerfull phone,20,15,Neutral,3.2,24,4
Acer Liquid M220 Windows 8.1 Smartphone - Black,ACER,34.95,5,nice phone i like it,20,15,Positive,3.2,20,5
Acer Liquid Z410 Andoid KitKat Unlocked Quad-Core Smartphone - Retail Packaging - Brown,ACER,114.11,5,this is the best budget phone you can get in my honest opinion  it has it all  a quad core processor   gb ram   gb rom  good looking  it feels good in your handthe camera is not the greatest but  is pretty good for this pricethe software run pretty smoothly and fast  ive installed a lot of apps with no problems at allthe only downside is the battery life  but its not a big deal,0,1,Positive,5.0,387,73
Acer Unlocked Dual Sim Smart Phone Liquid Z200,ACER,47.99,4,this phone settings were in a different language i thinkwas like chinese however after playing with it i found the tools in the settings and i was able to change it to english the phone seems very nice and its a really good phone for the price it is good to mentioned it only took me about   minutes to be able to change it to english,10,1,Positive,4.0,340,67
"Aeku M5, 1.0 Inch 4.5mm Ultra Thin Fashionable Mini Mobile Positioning Card Phone, Micro SIM (solid white)",AEKU,139.95,5,high quality phone  ultra portable  impact resistant  incredibly long lasting battery  loud clear calls simple yet very effective,0,1,Positive,5.0,131,18
Crony New Model Aeku M5 Mini Card Cell Phones GSM Ultra Thin 320mah With Colorful Screen for Student with Bluetooth (Black ),AEKU,18.58,5,for such a simple and cheap phone both my wife and i were blown away by the call qualityi popped in my sim card to give it a try after our initial laugh over how small this device really is  its smallthe sound quality coming out of this phone is really good  even better sounding than either of our top of the line samsung phonesit even has bluetooth which i was surprised with this is the perfect little phone for me to throw in my pocket when im outside working and dont want the possibility of damaging my   new samsung phonemy wifes having fun playing around with it  think shes having more fun with it than she did with her smart phone when she got it  sometimes going backwards is a good thing   shes really impressed with the sound quality and how well people sound on the other endi havent had it long enough to do any battery life testing but heck for the price this is a great spare  emergency phonei plan to keep an old sim card in it so that   calls could be made from it in case of an emergencyive added a picture giving you an idea of the size  and its amazingly light too  only    grams on my scaleill mark this a recommended buy,80,1,Positive,5.0,1179,225
